Symbol,Yield to worst %,Current coupon %,Volume 1 day,Term to maturity
US91282CNW72,4.528476299,3.875,1,2223
US91282CFF3,4.531874326,2.75,20000,2207
US91282CFF32,4.531906234,2.75,1,2207
US91282CNR87,4.52301088,4,1,2192
US91282CNF40,4.510889176,4.125,1,2131
US91282CEP23,4.511801431,2.875,1,2115
US91282CEP23,4.512841999,2.875,140200,2115
US91282CMT52,4.498486708,4.125,1,2070
US91282CMR96,4.488350182,4.125,1,2039
US91282CDY49,4.499546982,1.875,1,2025
US91282CMK44,4.490271242,4.375,1,2010
US91282CMC28,4.480854506,4.5,1,1979
US91282CMC28,4.477709668,4.5,50000,1979
US91282CLZ22,4.478951812,4.125,1,1948
US91282CDJ71,4.479413431,1.375,1,1933
US91282CDJ71,4.479413431,1.375,28000,1933
US91282CLU35,4.468596066,4.125,1,1918
US91282CLM1,4.469399486,3.625,4400,1887
US91282CLM19,4.461817215,3.625,1,1887
US91282CLJ89,4.461377851,3.75,1,1857
US91282CCS89,4.444508353,1.25,5000,1841
US91282CCS89,4.461943506,1.25,1,1841
US91282CCS89,4.468048986,1.25,1000,1841
US91282CLD10,4.454704973,4.125,1,1826
US91282CKW00,4.451161554,4.25,1,1795
US91282CQU89,4.443397759,4.125,1,1765
US91282CCB54,4.446542321,1.625,1,1749
US91282CQK08,4.44084626,3.875,1,1734
US91282CKN01,4.441330781,4.625,1,1734
US91282CKF76,4.436218653,4.125,1,1704
US91282CQG95,4.432087922,3.875,1,1704
US91282CQD64,4.425530439,3.5,1,1673
610743,4.393521011,5.375,2000,1660
US912810FP85,4.416242573,5.375,21000,1660
US91282CBL46,4.407400318,1.125,1,1660
US912810FP85,4.388136108,5.375,10000,1660
US912810FP85,4.39947535,5.375,1,1660
US91282CJX02,4.433727111,4,1,1645
US91282CJQ50,4.423160934,3.75,10000,1614
US91282CPR69,4.427888356,3.625,1,1614
US91282CJQ50,4.42827124,3.75,1,1614
US91282CAV37,4.42045737,0.875,1,1568
US91282CAV37,4.417648794,0.875,3000,1568
US91282CJG78,4.419301228,4.875,1,1553
US91282CHZ77,4.415820343,4.625,1,1522
US91282CPA35,4.416915302,3.625,1,1522
US91282CHW47,4.419398183,4.125,1,1492
US91282CAE12,4.409803615,0.625,1,1476
US91282CNN73,4.411754419,3.875,1,1461
US91282CHR51,4.408607556,4,1,1461
US91282CHJ36,4.403130153,3.75,1,1430
US91282CNK35,4.40591302,3.875,1,1430
US91282CNG23,4.407820965,4,1,1400
US91282CHF1,4.399615732,3.75,117000,1400
US91282CNG2,4.402039645,4,1800,1400
US91282CHF14,4.380471937,3.75,9900,1400
US91282CHF14,4.401082283,3.75,1,1400
US91282CNG23,4.404934715,4,10000,1400
US912810FM54,4.369682134,6.25,20700,1384
US912810FM54,4.379422739,6.25,1,1384
US912828ZQ64,4.396408963,0.625,1,1384
US912828ZQ6,4.39394485,0.625,22000,1384
US91282CGZ86,4.395744323,3.5,1,1369
US91282CMZ13,4.394852488,3.875,1,1369
US91282CGS44,4.391503867,3.625,1,1339
US91282CMU26,4.393358357,4,1,1339
A4D81E,4.369167643,4,4300,1339
US91282CGQ87,4.382233716,4,20000,1308
US91282CGQ87,4.385302626,4,1,1308
US912828Z948,4.370516256,1.5,1,1295
US91282CMG32,4.383135644,4.25,65000,1280
US91282CGJ45,4.385973199,3.5,6000,1280
US91282CGJ45,4.385973199,3.5,1,1280
US91282CMG32,4.387810081,4.25,1,1280
US91282CGB19,4.377990844,3.875,1,1249
US91282CGB19,4.381200171,3.875,165000,1249
US91282CMA61,4.37860515,4.125,1,1218
US91282CFY21,4.379207875,3.875,1,1218
US912828YS30,4.35448897,1.75,1,1203
US912828YS30,4.356215882,1.75,16000,1203
US91282CFT36,4.367602938,4,1,1188
US91282CLR06,4.370900786,4.125,1,1188
US91282CLN91,4.360467395,3.5,1,1157
US91282CFL00,4.359554871,3.875,1,1157
US91282CLK52,4.363410182,3.625,33300,1127
US91282CLK52,4.359868186,3.625,1,1127
US91282CFJ53,4.351526362,3.125,1,1127
A2R6AB,4.299546279,1.625,100,1111
US912828YB05,4.333102976,1.625,31000,1111
US912828YB05,4.331245993,1.625,1,1111
US912810FJ26,4.320954174,6.125,59000,1111
US912810FJ26,4.332984066,6.125,1,1111
US91282CLC37,4.349681184,4,1,1096
A3L12J,4.355080012,4,10000,1096
US91282CQZ7,4.342108452,4.125,2000,1080
US91282CEV90,4.348302575,3.25,1,1065
US91282CKX82,4.349610804,4.25,1,1065
US91282CES61,4.342434942,2.75,1,1035
US91282CKT70,4.35021201,4.5,1,1035
US9128286T26,4.330109941,2.375,100000,1019
US9128286T26,4.332092089,2.375,1,1019
US9128286T26,4.314933529,2.375,2000,1019
US91282CEM91,4.333700813,2.875,1,1004
US91282CKP58,4.335216401,4.625,1,1004
US91282CKG59,4.335273515,4.125,1,974
US91282CEE75,4.334225878,2.375,1,974
US91282CQE48,4.33091187,3.5,1,958
US91282CKD29,4.326105008,4.25,1,943
US91282CEB37,4.326458379,1.875,1,943
US9128286B18,4.327886012,2.625,1,930
US912810FG86,4.1798437,5.25,1,930
US912810FG86,4.214832876,5.25,12000,930
292974,4.135548106,5.25,1600,930
US9128286B18,4.312741589,2.625,2000,930
US91282CJW29,4.333528792,4,1,915
US91282CDW82,4.32336269,1.75,1,915
US91282CJR34,4.322344036,3.75,1,884
US91282CJR34,4.324558769,3.75,100400,884
US91282CPP04,4.321855066,3.5,1,868
A3KZD5,4.299479959,1.5,6000,853
US91282CJN20,4.327363384,4.375,1,853
US91282CDL28,4.320951287,1.5,1,853
US91282CPK17,4.321132137,3.5,1,838
US9128285M81,4.311698996,3.125,1,838
US912810FF04,4.289384049,5.25,172600,838
US912810FF04,4.282546066,5.25,1,838
US91282CJF9,4.321122538,4.875,5000,823
US91282CJF95,4.318763003,4.875,1,823
US91282CDF59,4.304890362,1.375,1,823
US91282CCY57,4.309332243,1.25,1,792
US91282CJA09,4.305516901,4.625,1,792
US91282CHX20,4.287922719,4.375,1000,762
US91282CCV19,4.28691925,1.125,26700,762
US91282CHX20,4.29803082,4.375,1,762
US9128284V99,4.294987511,2.875,1,746
A194FL,4.271224952,2.875,10000,746
US912810FE39,4.270661206,5.5,1,746
US912810FE39,4.243812613,5.5,80800,746
US91282CNU17,4.307462769,3.625,1,746
US91282CHQ78,4.292538396,4.125,1,731
US91282CCR07,4.282211374,1,1,731
US91282CHQ78,4.271426746,4.125,20000,731
US91282CNM90,4.290337388,3.875,1,715
US91282CHK09,4.289237566,4,1,700
US91282CNH06,4.285022483,3.875,1,685
US91282CNH06,4.273766595,3.875,106000,685
US91282CQS34,4.288166637,4,1,670
US91282CHE49,4.292030818,3.625,230000,670
US91282CHE49,4.28626508,3.625,1,670
US9128284N73,4.268578763,2.875,1,654
US91282CQL80,4.274862472,3.75,1,639
US91282CHA27,4.277035911,3.5,1,639
US91282CBZ32,4.271027792,1.25,1,639
US91282CGT27,4.27050647,3.625,1,609
US91282CMS7,4.259233239,3.875,3000,593
A4D8JQ,4.239843313,3.875,600,593
US91282CMS79,4.262489967,3.875,1,593
US91282CGP05,4.26293246,4,1,578
US91282CQB09,4.235981386,3.375,20000,578
US91282CBP59,4.253105802,1.125,1,578
US91282CQB0,4.261966962,3.375,20000,578
US91282CGP05,4.26293246,4,44000,578
US91282CMN82,4.279293629,4.25,1,564
US9128283W81,4.255815902,2.75,1,564
US91282CGH88,4.255158001,3.5,1,549
US91282CGH88,4.262146597,3.5,67400,549
US91282CBJ99,4.235197355,0.75,1,549
US91282CMF58,4.255084325,4.25,1,533
US91282CGC91,4.250907688,3.875,1,518
US91282CBB63,4.223842278,0.625,1,518
US91282CPS43,4.25026587,3.375,1,518
US91282CFZ95,4.248483183,3.875,491000,487
US91282CFZ95,4.244577229,3.875,1,487
US91282CAY75,4.213796926,0.625,1,487
US91282CPL99,4.237623897,3.375,1,487
US91282CLX73,4.232308545,4.125,1,472
US9128283F58,4.21540417,2.25,1,472
US912810FB99,4.183466614,6.125,1,472
US91282CAU53,4.199745827,0.5,1,457
US91282CFU09,4.215533194,4.125,1,457
US91282CPE56,4.225381136,3.5,1,457
US91282CLQ23,4.214012729,3.875,1,441
US91282CFM82,4.213856565,4.125,1,426
US91282CAL54,4.176988008,0.375,1,426
US91282CLL36,4.187421074,3.375,1,411
US91282CFH97,4.183242797,3.125,1,396
US91282CAH43,4.164113389,0.5,1,396
US91282CFH9,4.187936288,3.125,8000,396
US9128282R06,4.169147642,2.25,1,380
US912810FA17,4.140557317,6.375,1,380
US91282CLG41,4.199142824,3.75,1,380
US91282CFB28,4.179199733,2.75,1,365
US91282CAD39,4.146955022,0.375,1,365
US91282CKZ31,4.157328456,4.375,1,349
US91282CEW73,4.131109878,3.25,1,334
US912828ZV59,4.112996382,0.5,1,334
US91282CKV27,4.11922036,4.625,1,319
US91282CKV27,4.072344504,4.625,100000,319
US91282CNE74,4.108868886,3.875,1,304
US912828ZS21,4.086403664,0.5,1,304
US91282CET45,4.112434726,2.625,1,304
US91282CKR15,4.127244839,4.5,1,288
US912828X885,4.096567252,2.375,1,288
US91282CEN74,4.076570179,2.75,1,273
US91282CMY48,4.07977341,3.75,1,273
US91282CEN74,4.076570179,2.75,100000,273
US91282CKJ98,4.049521859,4.5,1,258
A3LXCC,4.053959149,4.5,130000,258
US91282CEF41,4.011861376,2.5,1,243
US91282CMV09,4.022546929,3.875,1,243
US91282CEF41,4.019615946,2.5,34600,243
US912828ZE35,3.994145271,0.625,1,243
US91282CKE02,3.976869292,4.25,1,227
US91282CKE02,3.978584323,4.25,20000,227
US912828ZB95,3.969351483,1.125,1,212
US912828ZB95,3.987226357,1.125,150000,212
US91282CEC10,3.988901169,1.875,1,212
US912797TV96,4.020933458,0,1,202
US912810EZ76,3.872753893,6.625,1,199
US912828V988,3.985637874,2.25,1,199
US912828V988,3.973742373,2.25,62500,199
US91282CKA89,4.039555989,4.125,1,199
US91282CMH15,4.012705763,4.125,1,184
US912828Z781,3.94119258,1.5,1,184
US912828Z781,3.916791683,1.5,50000,184
US912828Z781,3.961700652,1.5,214000,184
US912797TM97,4.113075549,0,1,174
US91282CJT99,3.907483657,4,1,168
US91282CJT9,3.895340645,4,18500,168
A3LS71,3.885399396,4,4100,168
US91282CDQ15,3.887576533,1.25,1,153
US912828YX2,3.904343795,1.75,2300,153
US91282CJP77,3.821326891,4.375,1,137
A3LSDL,3.848582742,4.375,10000,137
US912828YU85,3.846725433,1.625,1,122
US91282CDK45,3.865091622,1.25,32000,122
US91282CJK80,3.928090933,4.625,1,107
US912810EY02,3.816864385,6.5,1,107
US912828U246,3.814612266,2,1,107
US91282CDG33,3.906000866,1.125,86000,92
US91282CJC64,3.792844465,4.625,1,76
US91282CHY03,3.768740715,4.625,1,46
US912828YD60,3.663175242,1.375,59000,31
US91282CLH24,3.705425992,3.75,17500,31
US9128282A70,,1.5,40000,15
US91282CHU80,,4.375,1,15
US912810EX29,,6.75,1,15
US9128282A70,,1.5,1,15
